Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Focus,Riyadh,Ford,Automatic,Saudi,Standard,1.6,181,15000,10,False,False,5.204006687076795
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2.0,285000,36000,5,False,False,12.560247968016562
Sierra,Taef,GMC,Automatic,Gulf Arabic,Semi Full,1.5,400000,10000,22,False,False,12.899222326086994
Caprice,Al-Baha,Chevrolet,Automatic,Other,Full,6.0,350000,15000,13,False,False,12.765691290604371
Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,4.0,86852,109000,4,False,False,11.371972313387014
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,5.4,360,32000,13,False,False,5.8888779583328805
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,3.8,160000,100000,4,False,False,11.982935344196433
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,4.0,30000,194500,3,False,False,10.308985993422082
Grand Marquis,Dammam,Mercury,Automatic,Saudi,Semi Full,3.8,179000,14000,22,False,False,12.095146671399466
The 5,Khobar,BMW,Automatic,Gulf Arabic,Full,2.0,300000,10000,25,False,False,12.611541086966115
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2.0,31000,54000,4,False,False,10.34177474101152
Camry,Al-Baha,Toyota,Automatic,Gulf Arabic,Standard,2.2,80250,55000,8,False,False,11.292914501973813
ES,Riyadh,Lexus,Automatic,Other,Full,3.5,66000,139000,4,False,False,11.097425172408931
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,3.8,200,56000,6,False,False,5.303304908059076
The 5,Jubail,BMW,Automatic,Gulf Arabic,Standard,2.0,16000,145000,4,False,False,9.680406499268875
CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2.0,43000,135000,3,False,False,10.668978650219241
Malibu,Jeddah,Chevrolet,Automatic,Other,Semi Full,2.5,220000,21000,9,False,False,12.301387370778713
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2.4,166000,43000,5,False,False,12.019749091416921
LX,Riyadh,Lexus,Automatic,Saudi,Full,5.7,220000,180000,8,False,False,12.301387370778713
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Semi Full,2.0,173000,108000,7,False,False,12.06105265381003
Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,3.6,122102,53500,5,False,False,11.712620229821528
QX,Dammam,INFINITI,Automatic,Saudi,Full,5.6,185000,119000,6,False,False,12.128116509451258
Seven,Riyadh,Changan,Automatic,Saudi,Standard,1.5,11000,32500,1,False,False,9.305741456739435
Blazer,Wadi Dawasir,Chevrolet,Automatic,Saudi,Full,3.6,128000,15000,14,False,False,11.759793355371237
C300,Riyadh,Chrysler,Automatic,Gulf Arabic,Full,5.7,49000,135000,4,False,False,10.799595985047786
Taurus,Taef,Ford,Automatic,Saudi,Standard,3.5,22000,50000,11,False,False,9.99884318585288
Wingle,Jeddah,Great Wall,Manual,Saudi,Full,2.0,73000,1197,2,False,False,11.19822841866684
Taurus,Dammam,Ford,Automatic,Saudi,Standard,3.5,132000,65000,5,False,False,11.790564777297387
H1,Riyadh,Hyundai,Automatic,Saudi,Standard,2.4,209677,47500,5,False,False,12.253328299607654
